BrainRegion,X,Y,Z
FuG_L_3_2 (37mv),-30.774,-65.158,-13.986
Str_R_6_6 (dlPu),29.111,-3.366,1.366
PrG_R_6_5 (4tl),53.683,3.77,8.94
OcG_L_4_4 (iOccG),-30.097,-87.974,-12.162
STG_R_6_6 (22r),55.909,-12.029,-5.311
IFG_R_6_3 (45c),54.122,23.702,11.995
SPL_R_5_3 (5l),35.271,-42.043,53.876
INS_R_6_3 (dIa),36.509,18.504,0.53
PCun_R_4_1 (7m),6.321,-64.866,51.014
Str_R_6_3 (NAC),14.345,7.713,-8.704
SFG_R_7_5 (6m),7.4,-3.715,59.76
ITG_L_7_4 (20il),-55.532,-15.196,-27.772
MFG_R_7_4 (9/46v),41.79,44.227,13.503
PCL_L_2_1 (1/2/3ll),-7.701,-38.048,58.297
Amyg_L_2_2 (lAmyg),-27.035,-4.062,-19.792
PrG_R_6_3 (4ul),34.258,-18.828,58.49
Cb_Right_VI,23.541,-56.136,-24.818
STG_R_6_2 (41/42),53.849,-23.575,10.507
OcG_L_4_1 (mOccG),-30.65,-89.075,10.914
OrG_L_6_4 (11m),-6.387,51.954,-19.442
Tha_R_8_5 (PPtha),15.378,-25.165,6.126
PoG_L_4_2 (1/2/3tl),-55.98,-13.982,16.214
PrG_L_6_4 (4t),-13.105,-20.658,73.321
OrG_R_6_6 (12/47l),42.298,31.33,-8.966
OrG_L_6_3 (11l),-22.64,37.507,-17.563
Cb_Left_V,-13.199,-49.532,-18.615
Cb_Left_Crus_I,-36.858,-67.75,-31.357
SPL_L_5_5 (7ip),-27.443,-58.728,53.646
Cun_L_5_5 (vmPOS),-12.902,-68.343,12.121
Cun_L_5_2 (rCunG),-4.754,-80.728,10.284
CG_R_7_2 (24rv),4.548,21.585,11.993
PrG_R_6_1 (4hf),54.821,-2.269,32.877
PCun_L_4_4 (31),-6.242,-54.688,33.715
IPL_R_6_3 (40rd),47.263,-34.978,45.096
MTG_R_4_4 (aSTS),58.306,-15.933,-9.855
MTG_L_4_3 (37dl),-59.173,-57.41,4.22
CG_L_7_6 (23c),-7.425,-22.604,40.629
PrG_L_6_1 (4hf),-48.929,-7.665,38.978
PrG_R_6_4 (4t),15.157,-21.511,70.977
PhG_L_6_5 (TI),-23.021,2.054,-31.864
sOcG_L_2_1 (msOccG),-10.649,-87.983,30.446
pSTS_R_2_1 (rpSTS),52.495,-36.733,3.131
ITG_L_7_5 (37vl),-55.144,-60.116,-5.86
Hipp_L_2_2 (cHipp),-27.766,-30.024,-10.025
Str_R_6_2 (GP),21.945,-1.905,3.576
PCL_L_2_2 (4ll),-4.163,-22.809,60.335
MFG_L_7_1 (9/46d),-27.249,42.654,30.936
Tha_R_8_6 (Otha),13.074,-26.994,7.833
Tha_R_8_1 (mPFtha),7.029,-11.165,5.608
Amyg_R_2_2 (lAmyg),27.512,-3.262,-19.688
Tha_L_8_5 (PPtha),-16.449,-24.212,6.165
PhG_R_6_2 (35/36c),26.637,-23.025,-26.963
IFG_L_6_6 (44v),-51.644,13.494,6.311
SFG_L_7_4 (6dl),-18.03,-0.592,64.928
[-],-0.164,-17.348,20.137
ITG_R_7_5 (37vl),54.003,-56.948,-8.224
ITG_L_7_1 (20iv),-45.228,-25.73,-27.225
PhG_R_6_1 (35/36r),27.337,-8.302,-33.63
PoG_L_4_4 (1/2/3t),-21.415,-34.656,68.325
IPL_L_6_5 (39rv),-46.587,-64.966,25.962
OrG_R_6_2 (12/47o),40.342,38.722,-14.339
CG_R_7_5 (24cd),4.23,6.319,37.909
MFG_R_7_2 (IFJ),41.883,11.415,38.577
Str_L_6_5 (dCa),-14.435,2.059,16.307
IPL_L_6_4 (40c),-55.633,-49.451,37.621
SPL_L_5_3 (5l),-33.396,-46.795,49.702
CG_L_7_3 (32p),-5.772,34.103,20.466
